Codes,Description
A47,"FURNITURE, DOMESTIC ARTICLES OR APPLIANCES, COFFEE MILLS, SPICE MILLS, SUCTION CLEANERS IN GENERAL"
A61,"MEDICAL OR VETERINARY SCIENCE, HYGIENE"
A62,"LIFE-SAVING, FIRE-FIGHTING"
C01,INORGANIC CHEMISTRY
F16,"ENGINEERING ELEMENTS AND UNITS, GENERAL MEASURES FOR PRODUCING AND MAINTAINING EFFECTIVE FUNCTIONING OF MACHINES OR INSTALLATIONS, THERMAL INSULATION IN GENERAL"
F24,"HEATING, RANGES, VENTILATING"
F28,HEAT EXCHANGE IN GENERAL
H01,BASIC ELECTRIC ELEMENTS
H04,ELECTRIC COMMUNICATION TECHNIQUE
B23,"MACHINE TOOLS, METAL-WORKING NOT OTHERWISE PROVIDED FOR"
B41,"PRINTING, LINING MACHINES, TYPEWRITERS, STAMPS"
D03,WEAVING
E03,"WATER SUPPLY, SEWERAGE"
C08,"ORGANIC MACROMOLECULAR COMPOUNDS, THEIR PREPARATION OR CHEMICAL WORKING-UP, COMPOSITIONS BASED THEREON"
D01,"NATURAL OR MAN-MADE THREADS OR FIBRES, SPINNING"
D21,"PAPER-MAKING, PRODUCTION OF CELLULOSE"
C07,ORGANIC CHEMISTRY
A45,HAND OR TRAVELLING ARTICLES
B01,PHYSICAL OR CHEMICAL PROCESSES OR APPARATUS IN GENERAL
B08,CLEANING
G04,HOROLOGY
G06,"COMPUTING, CALCULATING, COUNTING"
B65,"CONVEYING, PACKING, STORING, HANDLING THIN OR FILAMENTARY MATERIAL"
G16,INFORMATION AND COMMUNICATION TECHNOLOGY [ICT] SPECIALLY ADAPTED FOR SPECIFIC APPLICATION FIELDS
G01,"MEASURING, TESTING"
A41,WEARING APPAREL
C23,"COATING METALLIC MATERIAL, COATING MATERIAL WITH METALLIC MATERIAL, CHEMICAL SURFACE TREATMENT, DIFFUSION TREATMENT OF METALLIC MATERIAL, COATING BY VACUUM EVAPORATION, BY SPUTTERING, BY ION IMPLANTATION OR BY CHEMICAL VAPOUR DEPOSITION, IN GENERAL, INHIBITING CORROSION OF METALLIC MATERIAL OR INCRUSTATION IN GENERAL"
F23,"COMBUSTION APPARATUS, COMBUSTION PROCESSES"
B25,"HAND TOOLS, PORTABLE POWER-DRIVEN TOOLS, MANIPULATORS"
A63,"SPORTS, GAMES, AMUSEMENTS"
B28,"WORKING CEMENT, CLAY, OR STONE"
B63,"SHIPS OR OTHER WATERBORNE VESSELS, RELATED EQUIPMENT"
F04,"POSITIVE - DISPLACEMENT MACHINES FOR LIQUIDS, PUMPS FOR LIQUIDS OR ELASTIC FLUIDS"
B60,VEHICLES IN GENERAL
B32,LAYERED PRODUCTS
C09,"DYES, PAINTS, POLISHES, NATURAL RESINS, ADHESIVES, COMPOSITIONS NOT OTHERWISE PROVIDED FOR, APPLICATIONS OF MATERIALS NOT OTHERWISE PROVIDED FOR"
C02,"TREATMENT OF WATER, WASTE WATER, SEWAGE, OR SLUDGE"
G03,"PHOTOGRAPHY, CINEMATOGRAPHY, ANALOGOUS TECHNIQUES USING WAVES OTHER THAN OPTICAL WAVES, ELECTROGRAPHY, HOLOGRAPHY"
C10,"PETROLEUM, GAS OR COKE INDUSTRIES, TECHNICAL GASES CONTAINING CARBON MONOXIDE, FUELS, LUBRICANTS, PEAT"
B61,RAILWAYS
C21,METALLURGY OF IRON
F42,"AMMUNITION, BLASTING"
A23,"FOODS OR FOODSTUFFS, TREATMENT THEREOF, NOT COVERED BY OTHER CLASSES"
C11,"ANIMAL OR VEGETABLE OILS, FATS, FATTY SUBSTANCES OR WAXES, FATTY ACIDS THEREFROM, DETERGENTS, CANDLES"
B29,"WORKING OF PLASTICS, WORKING OF SUBSTANCES IN A PLASTIC STATE IN GENERAL"
F02,"COMBUSTION ENGINES, HOT-GAS OR COMBUSTION-PRODUCT ENGINE PLANTS"
B62,LAND VEHICLES FOR TRAVELLING OTHERWISE THAN ON RAILS
B64,"AIRCRAFT, AVIATION, COSMONAUTICS"
E21,"EARTH DRILLING, MINING"
B24,"GRINDING, POLISHING"
B22,"CASTING, POWDER METALLURGY"
H05,ELECTRIC TECHNIQUES NOT OTHERWISE PROVIDED FOR
B27,"WORKING OR PRESERVING WOOD OR SIMILAR MATERIAL, NAILING OR STAPLING MACHINES IN GENERAL"
E04,BUILDING
B21,"MECHANICAL METAL-WORKING WITHOUT ESSENTIALLY REMOVING MATERIAL, PUNCHING METAL"
D06,"TREATMENT OF TEXTILES OR THE LIKE, LAUNDERING, FLEXIBLE MATERIALS NOT OTHERWISE PROVIDED FOR"
C04,"CEMENTS, CONCRETE, ARTIFICIAL STONE, CERAMICS, REFRACTORIES"
B05,"SPRAYING OR ATOMISING IN GENERAL, APPLYING FLUENT MATERIALS TO SURFACES, IN GENERAL"
G02,OPTICS
H03,BASIC ELECTRONIC CIRCUITRY
C06,"EXPLOSIVES, MATCHES"
G11,INFORMATION STORAGE
C12,"BIOCHEMISTRY, BEER, SPIRITS, WINE, VINEGAR, MICROBIOLOGY, ENZYMOLOGY, MUTATION OR GENETIC ENGINEERING"
E02,"HYDRAULIC ENGINEERING, FOUNDATIONS, SOIL SHIFTING"
F15,"FLUID-PRESSURE ACTUATORS, HYDRAULICS OR PNEUMATICS IN GENERAL"
A46,BRUSHWARE
B66,"HOISTING, LIFTING, HAULING"
G07,CHECKING-DEVICES
G08,SIGNALLING
C22,"METALLURGY, FERROUS OR NON-FERROUS ALLOYS, TREATMENT OF ALLOYS OR NON-FERROUS METALS"
B44,DECORATIVE ARTS
A01,"AGRICULTURE, FORESTRY, ANIMAL HUSBANDRY, HUNTING, TRAPPING, FISHING"
F03,"MACHINES OR ENGINES FOR LIQUIDS, WIND, SPRING, OR WEIGHT MOTORS, PRODUCING MECHANICAL POWER OR A REACTIVE PROPULSIVE THRUST, NOT OTHERWISE PROVIDED FOR"
C25,"ELECTROLYTIC OR ELECTROPHORETIC PROCESSES, APPARATUS THEREFOR"
F22,STEAM GENERATION
G05,"CONTROLLING, REGULATING"
G21,"NUCLEAR PHYSICS, NUCLEAR ENGINEERING"
B07,"SEPARATING SOLIDS FROM SOLIDS, SORTING"
F41,WEAPONS
E01,"CONSTRUCTION OF ROADS, RAILWAYS, OR BRIDGES"
H02,"GENERATION, CONVERSION OR DISTRIBUTION OF ELECTRIC POWER"
C13,SUGAR INDUSTRY
F01,"MACHINES OR ENGINES IN GENERAL, ENGINE PLANTS IN GENERAL, STEAM ENGINES"
F27,"FURNACES, KILNS, OVENS, RETORTS"
C14,"SKINS, HIDES, PELTS, LEATHER"
A44,"HABERDASHERY, JEWELLERY"
B67,"OPENING, CLOSING OR CLEANING BOTTLES, JARS OR SIMILAR CONTAINERS, LIQUID HANDLING"
A24,"TOBACCO, CIGARS, CIGARETTES, SIMULATED SMOKING DEVICES, SMOKERS' REQUISITES"
B02,"CRUSHING, PULVERISING, OR DISINTEGRATING, PREPARATORY TREATMENT OF GRAIN FOR MILLING"
E05,"LOCKS, KEYS, WINDOW OR DOOR FITTINGS, SAFES"
D05,"SEWING, EMBROIDERING, TUFTING"
F25,"REFRIGERATION OR COOLING, COMBINED HEATING AND REFRIGERATION SYSTEMS, HEAT PUMP SYSTEMS, MANUFACTURE OR STORAGE OF ICE, LIQUEFACTION SOLIDIFICATION OF GASES"
A43,FOOTWEAR
A22,"BUTCHERING, MEAT TREATMENT, PROCESSING POULTRY OR FISH"
A21,"BAKING, EDIBLE DOUGHS"
E06,"DOORS, WINDOWS, SHUTTERS, OR ROLLER BLINDS IN GENERAL, LADDERS"
F21,LIGHTING
G10,"MUSICAL INSTRUMENTS, ACOUSTICS"
C03,"GLASS, MINERAL OR SLAG WOOL"
B81,MICROSTRUCTURAL TECHNOLOGY
F17,STORING OR DISTRIBUTING GASES OR LIQUIDS
B03,"SEPARATION OF SOLID MATERIALS USING LIQUIDS OR USING PNEUMATIC TABLES OR JIGS, MAGNETIC OR ELECTROSTATIC SEPARATION OF SOLID MATERIALS FROM SOLID MATERIALS OR FLUIDS, SEPARATION BY HIGH-VOLTAGE ELECTRIC FIELDS"
G09,"EDUCATION, CRYPTOGRAPHY, DISPLAY, ADVERTISING, SEALS"
D04,"BRAIDING, LACE-MAKING, KNITTING, TRIMMINGS, NON-WOVEN FABRICS"
F26,DRYING
B31,"MAKING ARTICLES OF PAPER, CARDBOARD OR MATERIAL WORKED IN A MANNER ANALOGOUS TO PAPER, WORKING PAPER, CARDBOARD OR MATERIAL WORKED IN A MANNER ANALOGOUS TO PAPER"
